ID,Expiry,Election,Spot_0.9,Mean_0.9,Mean_0.2,Spot_0.1,Mean_0.1,Spot_0
25877,0,1,9.8,18.54934783,24.78431373,25,23.98039216,23
749798,0,1,29.3,9.412222222,3.7,3.6,3.715789474,3
317587,100,1,32.3,17.57781955,13.22033898,7,9.068965517,49
664428,100,1,75,62.60462633,52.1536,55,49.26129032,50
376101,0,1,37,19.74821192,25.33772455,23,23.84578313,20
496654,0,1,65,16.16875,19.8452381,23,19.92857143,14
496669,100,1,13.4,4.555737705,2.725,2,4,10
538039,0,1,38.6,13.93488372,12.63684211,15,10.01111111,0.1
757102,0,1,15,46.93703704,47.88333333,51.9,45.6,45
513221,100,0,97.5,83.34797508,70.51971831,69.2,70.45774648,80
188587,100,0,94.9,88.76076923,87.56896552,87.1,87.22142857,85
751748,100,1,80.5,59.33716814,53.672,40.2,53.4,60
416599,100,1,70,76.93962848,73.21678322,75,71.76056338,40
756498,100,1,55,60.90277778,76.85,84.9,64.96666667,55
25896,0,1,37,46.32217391,60.33333333,60,62.31372549,67
134320,100,1,80,93.03308824,92.93333333,92,93.86666667,96
317689,100,1,86,73.64924242,62.31896552,63,58.84482759,49
471523,100,1,85,89.7432381,81.25862069,85,77.51724138,33
751715,100,1,85.5,77.35353535,77.84090909,75,74.09090909,70
416514,0,1,16.5,14.05212598,15.91914894,13.5,16.98,40
749535,0,1,24,33.01755319,29.12195122,26,30.45,25
426590,100,0,61,58.17159278,51.65111111,48,48.49701493,51.5
756488,100,1,92.2,83.57096774,82.61428571,85,76.3,58.9
751751,0,1,25,14.12222222,1,1,1,1
758379,0,1,2.8,15.4,23.1,21.2,25,25
159227,100,0,64,55.51607143,56.08333333,57,54.66666667,52
758334,100,1,97,94.2,90,90,90,90
25878,100,1,78,79.83043478,77.73529412,77,77,77
25876,100,1,79,69.58391304,82,82,82,82
496661,0,1,20,16.15056818,18.43589744,18,18.16842105,14
699145,0,1,1,54.1875,40,40,40,40
613772,100,0,62,23.01376812,14.52666667,15,10.58666667,10
148926,0,0,37.4,32.23707865,33.12105263,37,30.33333333,20
496677,100,1,20,4.015873016,2.488095238,2,3.080952381,5
758580,100,1,94.9,65.42272727,36,25,45.5,41
596125,0,0,2.1,17.02093023,26.28888889,22.5,25.025,35
579235,100,1,97.3,86.8,89.3,89.3,89.3,89.3
750753,100,1,16.5,17.70714286,0.585714286,0.3,0.3,0.3
25898,100,1,77.1,65.26673913,66.58823529,67,67,67
750064,0,0,35,56.91949686,84.74285714,88,88,88
664242,0,1,15.5,32.45986038,28.65669291,40,26.4984127,20
664249,0,1,11.9,29.11290323,7.472727273,10,5.740740741,5
416543,0,1,77,73.02739938,77.17832168,85,76.1971831,40
471143,0,1,0.1,4.779885057,12.89827586,12.6,9.579310345,15
25891,0,1,27.9,41.03152174,61.07843137,60,61.88235294,62
6229,0,0,0.4,18.09783394,7.260162602,6,8.032786885,10
416540,100,1,76,87.98616352,87.01134752,90,84.16571429,40
756478,0,1,98.4,87.06666667,79.5,85,74,74
750749,0,1,72.6,29.70909091,9.325806452,8,9.8,7
661307,0,0,2,31.11,82.5,83,83.5,85
702726,100,0,24.8,14.41440329,10.9962963,10,10,10
538017,100,1,72.9,67.06644737,76.01212121,84.9,66.56875,0.5
758322,100,1,99.8,38.31666667,50,50,50,50
25908,100,1,69,69.84173913,81.47058824,82,82,82
552170,0,0,11.9,6.261764706,0.505882353,0.2,0.2,0.2
204654,0,0,0.3,2.476010318,2.39496124,1.5,2.118604651,5
177141,0,0,0.1,0.177927548,0.301901141,0.1,0.501526718,1
177134,0,1,15.2,46.4460665,40.76094891,45,35.43382353,50
639645,0,0,31,67.18474576,80.25694444,80,82.13194444,84.5
756486,100,1,84.1,7.307692308,1.2,1,0.1,0.1
177450,0,0,0.1,0.778814935,2.538095238,0.5,4.850735294,10
750069,0,0,55,63.61683168,40.68181818,20,20,20
